ts,load1,app_cpu,db_cpu,nginx_cpu,redis_cpu,app_mem,hik_active,hik_pending,hik_idle,tomcat_busy,tomcat_cur,heap_used_mb,pg_active,pg_idle_tx,pg_waiting,pg_total
23:23:57,0.42,0.18,4.64,0.23,0.44,556.8MiB,1.0,0.0,9.0,,,122,1,1,0,11
23:24:05,0.44,79.69,4.83,1.05,0.95,557.1MiB,0.0,0.0,10.0,,,109,1,0,0,11
23:24:13,0.40,76.88,7.19,1.01,0.86,557.3MiB,1.0,0.0,9.0,,,163,1,1,0,11
23:24:21,0.58,76.03,3.30,0.97,0.90,557.4MiB,0.0,0.0,10.0,,,144,1,0,0,11
23:24:29,0.53,93.75,3.28,1.05,0.93,557.8MiB,1.0,0.0,9.0,,,130,1,1,0,11
23:24:36,0.53,81.59,3.72,1.12,0.96,558MiB,1.0,0.0,9.0,,,116,2,0,0,11
23:24:44,0.57,77.47,3.32,1.04,0.89,558.1MiB,1.0,0.0,9.0,,,165,1,0,0,11
23:24:52,0.63,77.30,3.46,1.06,0.91,558.1MiB,1.0,0.0,9.0,,,152,1,1,0,11
23:25:00,0.61,77.47,3.51,1.13,0.98,558.2MiB,1.0,0.0,9.0,,,131,1,1,0,11
23:25:07,0.56,79.61,3.47,1.08,0.92,558.2MiB,1.0,0.0,9.0,,,117,1,1,0,11
23:25:15,0.77,79.16,3.42,1.10,0.99,561.1MiB,1.0,0.0,9.0,,,172,1,0,0,11
23:25:23,0.71,76.33,3.31,1.00,0.88,558.7MiB,1.0,0.0,9.0,,,153,1,1,0,11
