pass,state,round,write_rows,insert_ms
1,A,1,50000,5803
1,A,2,50000,3284
1,A,3,50000,2992
2,B,1,50000,15590
2,B,2,50000,13087
2,B,3,50000,13410
3,A,1,50000,4224
3,A,2,50000,2691
3,A,3,50000,2621
4,B,1,50000,16210
4,B,2,50000,13728
4,B,3,50000,11120
