seq,t_epoch,t_iso,elapsed_s,chunks_total,sources_total,d_chunks,d_sources,ms_per_chunk,ms_per_source,tei_cpus,app_running,note
1,1786640606,2026-08-13T17:03:27+00:00,0,118931,99021,,,,,2.00,yes,
2,1786640667,2026-08-13T17:04:29+00:00,61,119170,99221,239,200,255.2,305.0,2.00,yes,
3,1786640729,2026-08-13T17:05:30+00:00,123,119530,99521,360,300,172.2,206.7,2.00,yes,
4,1786640790,2026-08-13T17:06:31+00:00,184,119884,99821,354,300,172.3,203.3,2.00,yes,
5,1786640851,2026-08-13T17:07:33+00:00,245,120253,100121,369,300,165.3,203.3,2.00,yes,
6,1786640913,2026-08-13T17:08:34+00:00,307,120616,100421,363,300,170.8,206.7,2.00,yes,
7,1786640974,2026-08-13T17:09:36+00:00,368,120975,100721,359,300,169.9,203.3,2.00,yes,
8,1786641036,2026-08-13T17:10:37+00:00,430,120975,100721,0,0,,,2.00,yes,
9,1786641097,2026-08-13T17:11:39+00:00,491,120975,100721,0,0,,,2.00,yes,
10,1786641159,2026-08-13T17:12:40+00:00,553,120975,100721,0,0,,,2.00,yes,
11,1786641220,2026-08-13T17:13:42+00:00,614,120975,100721,0,0,,,2.00,yes,
12,1786641282,2026-08-13T17:14:43+00:00,676,120975,100721,0,0,,,2.00,yes,
