ts,load1,app_cpu,db_cpu,nginx_cpu,redis_cpu,app_mem,hik_active,hik_pending,hik_idle,tomcat_busy,tomcat_cur,heap_used_mb,pg_active,pg_idle_tx,pg_waiting,pg_total
02:46:25,1.76,0.37,4.30,0.00,0.39,466.8MiB,0.0,0.0,10.0,,,145,1,0,0,11
02:46:33,1.65,165.09,1.14,1.07,0.92,498.1MiB,1.0,0.0,9.0,,,127,1,1,0,11
02:46:40,1.68,151.83,2.15,1.15,0.94,521MiB,1.0,0.0,9.0,,,163,1,2,0,11
02:46:48,1.81,137.27,1.02,1.30,0.90,536.4MiB,2.0,0.0,8.0,,,136,1,1,0,11
02:46:56,1.91,135.38,1.11,1.35,2.81,544.2MiB,1.0,0.0,9.0,,,163,1,1,0,11
02:47:04,1.84,150.92,1.01,1.46,0.88,546.4MiB,1.0,0.0,9.0,,,127,1,1,0,11
02:47:12,1.85,134.16,1.06,1.61,0.89,555.9MiB,1.0,0.0,9.0,,,161,1,2,0,11
02:47:19,1.96,146.48,1.35,1.77,0.93,568.2MiB,1.0,0.0,9.0,,,175,1,1,0,11
02:47:26,1.89,221.16,11.43,3.27,2.80,596.6MiB,10.0,6.0,0.0,,,202,4,7,0,11
02:47:34,3.35,453.53,96.73,38.47,0.49,620.9MiB,4.0,0.0,6.0,,,224,8,1,0,11
02:47:42,3.32,163.38,90.54,35.77,0.49,608.6MiB,1.0,0.0,9.0,,,211,3,0,0,11
02:47:50,3.70,166.52,92.61,36.94,0.50,609.2MiB,4.0,0.0,6.0,,,184,1,0,0,11
02:47:58,4.47,175.02,94.04,36.92,1.13,609.4MiB,10.0,5.0,0.0,,,227,4,3,1,11
02:48:05,4.20,173.79,95.27,37.15,0.51,610.4MiB,1.0,0.0,9.0,,,183,2,1,0,11
02:48:13,4.74,165.68,91.06,39.18,0.49,610.7MiB,1.0,0.0,9.0,,,228,3,0,0,11
02:48:21,4.52,164.05,95.70,37.30,0.47,611.5MiB,8.0,0.0,2.0,,,197,5,4,0,11
02:48:29,4.38,166.88,91.11,35.65,0.51,612.2MiB,3.0,0.0,7.0,,,188,3,0,0,11
02:48:37,4.11,175.97,95.87,37.10,3.40,612.8MiB,6.0,0.0,4.0,,,167,6,0,0,11
02:48:45,4.00,171.83,96.25,37.25,0.46,612.4MiB,3.0,0.0,7.0,,,209,2,0,0,11
02:48:52,4.16,162.17,90.89,35.52,0.43,612.8MiB,2.0,0.0,8.0,,,174,2,0,0,11
02:49:00,3.67,181.64,102.57,39.56,0.49,612.9MiB,6.0,0.0,4.0,,,219,2,0,0,11
02:49:08,3.87,168.73,102.37,37.35,0.53,613.1MiB,5.0,0.0,5.0,,,189,3,2,0,11
02:49:16,3.88,164.28,90.97,35.66,0.49,613.8MiB,1.0,0.0,9.0,,,225,2,0,0,11
02:49:24,4.49,46.52,95.39,10.38,0.41,613.8MiB,0.0,0.0,10.0,,,196,1,0,0,11
02:49:31,4.13,0.22,0.09,0.00,0.40,621MiB,0.0,0.0,10.0,,,219,1,0,0,11
02:49:39,3.49,2.73,4.30,0.00,0.43,621.2MiB,0.0,0.0,10.0,,,225,1,0,0,11
