ts,load1,app_cpu,db_cpu,nginx_cpu,redis_cpu,app_mem,hik_active,hik_pending,hik_idle,tomcat_busy,tomcat_cur,heap_used_mb,pg_active,pg_idle_tx,pg_waiting,pg_total
05:01:49,0.61,28.71,4.37,0.30,0.62,732.3MiB,1.0,0.0,9.0,,,177,2,1,0,11
05:01:57,0.80,102.56,22.24,0.85,0.80,734.1MiB,9.0,33.0,0.0,,,284,1,3,0,11
05:02:08,1.35,102.48,39.80,1.03,0.82,734MiB,10.0,59.0,0.0,,,0,1,0,0,11
05:02:26,1.05,0.78,0.02,0.08,2.34,739.1MiB,,,,,,0,1,0,0,11
05:02:52,0.69,100.48,0.57,0.45,0.65,749.9MiB,,,,,,0,1,0,0,11
05:03:18,1.06,1.44,0.12,0.14,0.45,750.7MiB,,,,,,0,1,0,0,11
