seq,t_epoch,t_iso,elapsed_s,chunks_total,sources_total,d_chunks,d_sources,ms_per_chunk,ms_per_source,tei_cpus,app_running,note
1,1789653101,2026-09-17T13:51:41+00:00,0,0,0,,,,,2.00,no,
2,1789653161,2026-09-17T13:52:41+00:00,60,718,600,718,600,83.6,100.0,2.00,yes,
3,1789653221,2026-09-17T13:53:41+00:00,120,1922,1600,1204,1000,49.8,60.0,2.00,yes,
4,1789653282,2026-09-17T13:54:42+00:00,181,3027,2500,1105,900,55.2,67.8,2.00,yes,
5,1789653342,2026-09-17T13:55:42+00:00,241,4234,3500,1207,1000,49.7,60.0,2.00,yes,
6,1789653403,2026-09-17T13:56:43+00:00,302,5413,4500,1179,1000,51.7,61.0,2.00,yes,
7,1789653463,2026-09-17T13:57:43+00:00,362,6611,5500,1198,1000,50.1,60.0,2.00,yes,
8,1789653523,2026-09-17T13:58:44+00:00,422,7800,6500,1189,1000,50.5,60.0,2.00,yes,
9,1789653584,2026-09-17T13:59:44+00:00,483,8991,7500,1191,1000,51.2,61.0,2.00,yes,
10,1789653644,2026-09-17T14:00:44+00:00,543,10317,8600,1326,1100,45.2,54.5,2.00,yes,
11,1789653705,2026-09-17T14:01:45+00:00,604,11503,9600,1186,1000,51.4,61.0,2.00,yes,
12,1789653765,2026-09-17T14:02:45+00:00,664,12690,10600,1187,1000,50.5,60.0,2.00,yes,
13,1789653825,2026-09-17T14:03:46+00:00,724,13890,11600,1200,1000,50.0,60.0,2.00,yes,
14,1789653886,2026-09-17T14:04:46+00:00,785,15096,12600,1206,1000,50.6,61.0,2.00,yes,
15,1789653946,2026-09-17T14:05:47+00:00,845,16285,13600,1189,1000,50.5,60.0,2.00,yes,
16,1789654007,2026-09-17T14:06:47+00:00,906,17461,14600,1176,1000,51.9,61.0,2.00,yes,
17,1789654067,2026-09-17T14:07:47+00:00,966,18651,15600,1190,1000,50.4,60.0,2.00,yes,
18,1789654128,2026-09-17T14:08:48+00:00,1027,19864,16600,1213,1000,50.3,61.0,2.00,yes,
19,1789654188,2026-09-17T14:09:48+00:00,1087,21066,17600,1202,1000,49.9,60.0,2.00,yes,
20,1789654248,2026-09-17T14:10:49+00:00,1147,22253,18600,1187,1000,50.5,60.0,2.00,yes,
21,1789654309,2026-09-17T14:11:49+00:00,1208,23442,19600,1189,1000,51.3,61.0,2.00,yes,
22,1789654369,2026-09-17T14:12:49+00:00,1268,24622,20600,1180,1000,50.8,60.0,2.00,yes,
23,1789654430,2026-09-17T14:13:50+00:00,1329,25815,21600,1193,1000,51.1,61.0,2.00,yes,
24,1789654490,2026-09-17T14:14:50+00:00,1389,27008,22600,1193,1000,50.3,60.0,2.00,yes,
25,1789654550,2026-09-17T14:15:51+00:00,1449,28202,23600,1194,1000,50.3,60.0,2.00,yes,
26,1789654611,2026-09-17T14:16:51+00:00,1510,29288,24500,1086,900,56.2,67.8,2.00,yes,
27,1789654671,2026-09-17T14:17:51+00:00,1570,30601,25600,1313,1100,45.7,54.5,2.00,yes,
28,1789654732,2026-09-17T14:18:52+00:00,1631,31696,26500,1095,900,55.7,67.8,2.00,yes,
29,1789654792,2026-09-17T14:19:52+00:00,1691,32891,27500,1195,1000,50.2,60.0,2.00,yes,
30,1789654853,2026-09-17T14:20:53+00:00,1752,34082,28500,1191,1000,51.2,61.0,2.00,yes,
31,1789654913,2026-09-17T14:21:53+00:00,1812,35276,29500,1194,1000,50.3,60.0,2.00,yes,
32,1789654973,2026-09-17T14:22:54+00:00,1872,36363,30400,1087,900,55.2,66.7,2.00,yes,
33,1789655034,2026-09-17T14:23:54+00:00,1933,37559,31400,1196,1000,51.0,61.0,2.00,yes,
34,1789655094,2026-09-17T14:24:55+00:00,1993,38767,32400,1208,1000,49.7,60.0,2.00,yes,
35,1789655155,2026-09-17T14:25:55+00:00,2054,39982,33400,1215,1000,50.2,61.0,2.00,yes,
36,1789655215,2026-09-17T14:26:55+00:00,2114,41164,34400,1182,1000,50.8,60.0,2.00,yes,
37,1789655276,2026-09-17T14:27:56+00:00,2175,42373,35400,1209,1000,50.5,61.0,2.00,yes,
38,1789655336,2026-09-17T14:28:56+00:00,2235,43566,36400,1193,1000,50.3,60.0,2.00,yes,
39,1789655396,2026-09-17T14:29:57+00:00,2295,44649,37300,1083,900,55.4,66.7,2.00,yes,
40,1789655457,2026-09-17T14:30:57+00:00,2356,45849,38300,1200,1000,50.8,61.0,2.00,yes,
41,1789655517,2026-09-17T14:31:57+00:00,2416,47045,39300,1196,1000,50.2,60.0,2.00,yes,
42,1789655578,2026-09-17T14:32:58+00:00,2477,48242,40300,1197,1000,51.0,61.0,2.00,yes,
43,1789655638,2026-09-17T14:33:58+00:00,2537,49547,41400,1305,1100,46.0,54.5,2.00,yes,
44,1789655699,2026-09-17T14:34:59+00:00,2598,50840,42500,1293,1100,47.2,55.5,2.00,yes,
45,1789655759,2026-09-17T14:35:59+00:00,2658,51934,43400,1094,900,54.8,66.7,2.00,yes,
46,1789655820,2026-09-17T14:37:00+00:00,2719,53237,44500,1303,1100,46.8,55.5,2.00,yes,
47,1789655880,2026-09-17T14:38:00+00:00,2779,54330,45400,1093,900,54.9,66.7,2.00,yes,
48,1789655940,2026-09-17T14:39:01+00:00,2839,55513,46400,1183,1000,50.7,60.0,2.00,yes,
49,1789656001,2026-09-17T14:40:01+00:00,2900,56731,47400,1218,1000,50.1,61.0,2.00,yes,
50,1789656061,2026-09-17T14:41:02+00:00,2960,57934,48400,1203,1000,49.9,60.0,2.00,yes,
51,1789656122,2026-09-17T14:42:02+00:00,3021,59131,49400,1197,1000,51.0,61.0,2.00,yes,
52,1789656182,2026-09-17T14:43:02+00:00,3081,60214,50300,1083,900,55.4,66.7,2.00,yes,
53,1789656243,2026-09-17T14:44:03+00:00,3142,61439,51300,1225,1000,49.8,61.0,2.00,yes,
