t_epoch,t_iso,event,chunks
1789793967,2026-09-19T04:59:27Z,앱 기동 — 연속 색인 시작(1회차),0
1789794220,2026-09-19T05:03:40Z,기준선 확정 78.8ms/원본 (유효 3표본 중앙값),3627
1789794284,2026-09-19T05:04:44Z,열화 감지 — 1표본 연속 ≥ 78.8×0.5 (마지막 71.1ms),4709
1789794285,2026-09-19T05:04:45Z,개입 1: DB 컨테이너 상한 → 1g (재시작 없이) 직전 [496|512|466|19|142|4266],4709
1789794286,2026-09-19T05:04:46Z,개입 1: 상한 변경 완료 [496|1024|466|19|142|4266] — 앱은 그대로,4709
1789794476,2026-09-19T05:07:56Z,회복 — 개입 1 뒤 중앙값 74.9ms (기준선 78.8) → 원인은 컨테이너 메모리 상한(페이지 캐시가 상한을 나눠 쓰는 것),7800
1789794729,2026-09-19T05:12:09Z,!! 0.2시간 상한 — 원본이 남은 채로 끝낸다,11966
