t_s,n_live_tup,n_dead_tup,autovacuum_count,phase,heap_blks_scanned,heap_blks_total,index_vacuum_count,heap_bytes
8,500000,0,1,,0,0,0,292577280
15,500000,0,1,,0,0,0,292577280
20,500000,0,1,,0,0,0,292577280
26,500000,0,1,,0,0,0,292577280
31,500000,0,1,,0,0,0,292577280
37,500000,0,1,,0,0,0,292577280
43,500000,0,1,,0,0,0,292577280
49,500000,0,1,,0,0,0,292577280
55,500000,0,1,,0,0,0,292577280
62,500000,0,1,,0,0,0,292577280
68,49737,450273,1,,0,0,0,292577280
78,49737,450273,1,,0,0,0,292577280
91,49737,450273,1,,0,0,0,292577280
100,49737,450273,1,,0,0,0,292577280
112,49737,450273,1,,0,0,0,292577280
122,49737,450273,1,scanning heap,1607,35715,0,292577280
129,49737,450273,1,scanning heap,14370,35715,0,292577280
142,49737,450273,1,vacuuming heap,35715,35715,1,292577280
161,4979,0,2,,0,0,0,292577280
