t_s,n_live_tup,n_dead_tup,autovacuum_count,phase,heap_blks_scanned,heap_blks_total,index_vacuum_count,heap_bytes
15,50010,450000,0,,0,0,0,292577280
22,50010,450000,0,,0,0,0,292577280
30,50010,450000,0,,0,0,0,292577280
35,50010,450000,0,,0,0,0,292577280
44,50010,450000,0,vacuuming indexes,35715,35715,0,292577280
55,50089,0,1,,0,0,0,292577280
