seq,cpus_requested,cpus_applied,oversubscribed,window_s,chunks,sources,ms_per_chunk,ms_per_source,tei_throttle_pct,app_throttle_pct,db_throttle_pct,redis_throttle_pct,nginx_throttle_pct,corpus_at_start,note
1,2.0,2.00,no,300,4790,4000,62.6,75.0,8.0,0.0,1.8,0.0,n/a,25815,
2,3.0,3.00,no,300,4790,4000,62.6,75.0,0.0,0.1,1.3,0.0,n/a,25815,
3,4.0,4.00,no,300,4790,4000,62.6,75.0,0.0,0.1,1.6,0.0,n/a,25815,
4,5.0,5.00,no,300,4790,4000,62.6,75.0,0.0,0.0,1.6,0.0,n/a,25815,
5,6.0,6.00,yes,300,4790,4000,62.6,75.0,0.0,0.0,1.7,0.0,n/a,25815,
6,2.0,2.00,no,300,4790,4000,62.6,75.0,6.9,0.1,1.4,0.0,n/a,25815,
