seq,t_epoch,t_iso,elapsed_s,chunks_total,sources_total,d_chunks,d_sources,ms_per_chunk,ms_per_source,tei_cpus,app_running,note
1,1786641636,2026-08-13T17:20:36+00:00,0,120975,100721,,,,,2.00,yes,
2,1786641696,2026-08-13T17:21:38+00:00,60,120975,100721,0,0,,,2.00,yes,
3,1786641758,2026-08-13T17:22:39+00:00,122,120975,100721,0,0,,,2.00,yes,
4,1786641819,2026-08-13T17:23:41+00:00,183,120975,100721,0,0,,,2.00,yes,
5,1786641881,2026-08-13T17:24:42+00:00,245,120975,100721,0,0,,,2.00,yes,
6,1786641942,2026-08-13T17:25:44+00:00,306,120975,100721,0,0,,,2.00,yes,
7,1786642004,2026-08-13T17:26:45+00:00,368,120975,100721,0,0,,,2.00,yes,
8,1786642065,2026-08-13T17:27:47+00:00,429,120975,100721,0,0,,,2.00,yes,
