ts,load1,app_cpu,db_cpu,nginx_cpu,redis_cpu,app_mem,hik_active,hik_pending,hik_idle,tomcat_busy,tomcat_cur,heap_used_mb,pg_active,pg_idle_tx,pg_waiting,pg_total
05:38:57,2.08,0.23,4.39,0.00,0.41,741MiB,3.0,0.0,7.0,,,210,1,3,0,11
05:39:04,1.84,274.53,91.51,2.14,1.20,747.8MiB,10.0,45.0,0.0,,,186,1,10,0,11
05:39:17,1.71,234.14,119.63,1.72,1.04,755.6MiB,9.0,96.0,1.0,,,121,1,10,0,11
05:39:30,2.76,260.52,140.61,2.83,1.45,761.6MiB,,133.0,0.0,,,277,1,10,0,11
05:39:50,3.32,239.53,123.87,2.03,1.05,766.3MiB,9.0,186.0,0.0,,,0,4,6,0,11
05:40:12,3.47,256.29,144.49,2.65,1.26,768MiB,10.0,,,,,0,5,6,0,11
05:40:36,3.75,176.40,93.58,1.42,0.95,768.6MiB,,111.0,1.0,,,167,1,0,0,11
05:40:54,2.89,0.25,0.01,0.00,0.42,766.1MiB,0.0,0.0,10.0,,,195,1,0,0,11
