t_epoch,t_iso,event,chunks
1789811652,2026-09-19T09:54:12Z,구멍 완료,225728
1789811655,2026-09-19T09:54:15Z,앱 기동 — 연속 색인 시작(1회차),225728
1789812100,2026-09-19T10:01:40Z,기준선 확정 71.1ms/원본 (유효 5표본 중앙값),232579
1789812607,2026-09-19T10:10:07Z,색인 완주 (앱 로그) — 남은 원본 없음,240099
