seq,t_epoch,t_iso,elapsed_s,chunks_total,sources_total,d_chunks,d_sources,ms_per_chunk,ms_per_source,tei_cpus,app_running,note
61,1786557020,2026-08-12T17:50:20+00:00,3626,29999,25100,1069,900,57.1,67.8,6.00,yes,
62,1786557080,2026-08-12T17:51:20+00:00,3686,25815,21600,-4184,-3500,,,6.00,no,
63,1786557141,2026-08-12T17:52:21+00:00,3747,25815,21600,0,0,,,6.00,no,
64,1786557201,2026-08-12T17:53:21+00:00,3807,26049,21800,234,200,256.4,300.0,2.00,yes,
65,1786557261,2026-08-12T17:54:22+00:00,3867,27008,22600,959,800,62.6,75.0,2.00,yes,
66,1786557322,2026-08-12T17:55:22+00:00,3928,27963,23400,955,800,63.9,76.2,2.00,yes,
67,1786557382,2026-08-12T17:56:22+00:00,3988,28930,24200,967,800,62.0,75.0,2.00,yes,
68,1786557443,2026-08-12T17:57:23+00:00,4049,29889,25000,959,800,63.6,76.2,2.00,yes,
69,1786557503,2026-08-12T17:58:23+00:00,4109,25815,21600,-4074,-3400,,,2.00,no,
70,1786557563,2026-08-12T17:59:24+00:00,4169,25815,21600,0,0,,,2.00,no,
71,1786557624,2026-08-12T18:00:24+00:00,4230,25815,21600,0,0,,,2.00,yes,
