seq,t_epoch,t_iso,elapsed_s,chunks_total,sources_total,d_chunks,d_sources,ms_per_chunk,ms_per_source,tei_cpus,app_running,note
1,1786593356,2026-08-13T03:55:56+00:00,0,0,0,,,,,2.00,no,
2,1786593416,2026-08-13T03:56:56+00:00,60,474,400,474,400,126.6,150.0,2.00,yes,
3,1786593477,2026-08-13T03:57:57+00:00,121,1445,1200,971,800,62.8,76.2,2.00,yes,
4,1786593537,2026-08-13T03:58:57+00:00,181,2398,2000,953,800,63.0,75.0,2.00,yes,
5,1786593598,2026-08-13T03:59:58+00:00,242,3273,2700,875,700,69.7,87.1,2.00,yes,
6,1786593658,2026-08-13T04:00:58+00:00,302,4234,3500,961,800,62.4,75.0,2.00,yes,
7,1786593718,2026-08-13T04:01:59+00:00,362,5178,4300,944,800,63.6,75.0,2.00,yes,
8,1786593779,2026-08-13T04:02:59+00:00,423,6135,5100,957,800,63.7,76.2,2.00,yes,
9,1786593839,2026-08-13T04:03:59+00:00,483,7091,5900,956,800,62.8,75.0,2.00,yes,
10,1786593900,2026-08-13T04:05:00+00:00,544,8042,6700,951,800,64.1,76.2,2.00,yes,
11,1786593960,2026-08-13T04:06:00+00:00,604,8991,7500,949,800,63.2,75.0,2.00,yes,
12,1786594021,2026-08-13T04:07:01+00:00,665,10070,8400,1079,900,56.5,67.8,2.00,yes,
13,1786594081,2026-08-13T04:08:01+00:00,725,10915,9100,845,700,71.0,85.7,2.00,yes,
14,1786594141,2026-08-13T04:09:02+00:00,785,11966,10000,1051,900,57.1,66.7,2.00,yes,
15,1786594202,2026-08-13T04:10:02+00:00,846,12927,10800,961,800,63.5,76.2,2.00,yes,
16,1786594262,2026-08-13T04:11:03+00:00,906,13761,11500,834,700,71.9,85.7,2.00,yes,
17,1786594323,2026-08-13T04:12:03+00:00,967,14747,12300,986,800,61.9,76.2,2.00,yes,
18,1786594383,2026-08-13T04:13:03+00:00,1027,15687,13100,940,800,63.8,75.0,2.00,yes,
19,1786594444,2026-08-13T04:14:04+00:00,1088,16754,14000,1067,900,57.2,67.8,2.00,yes,
20,1786594504,2026-08-13T04:15:04+00:00,1148,17694,14800,940,800,63.8,75.0,2.00,yes,
21,1786594565,2026-08-13T04:16:05+00:00,1209,18651,15600,957,800,63.7,76.2,2.00,yes,
22,1786594625,2026-08-13T04:17:05+00:00,1269,19617,16400,966,800,62.1,75.0,2.00,yes,
23,1786594685,2026-08-13T04:18:06+00:00,1329,20589,17200,972,800,61.7,75.0,2.00,yes,
24,1786594746,2026-08-13T04:19:06+00:00,1390,21422,17900,833,700,73.2,87.1,2.00,yes,
25,1786594806,2026-08-13T04:20:07+00:00,1450,22487,18800,1065,900,56.3,66.7,2.00,yes,
26,1786594867,2026-08-13T04:21:07+00:00,1511,23442,19600,955,800,63.9,76.2,2.00,yes,
27,1786594927,2026-08-13T04:22:07+00:00,1571,24385,20400,943,800,63.6,75.0,2.00,yes,
