ts,load1,app_cpu,db_cpu,nginx_cpu,redis_cpu,app_mem,hik_active,hik_pending,hik_idle,tomcat_busy,tomcat_cur,heap_used_mb,pg_active,pg_idle_tx,pg_waiting,pg_total
08:53:06,0.39,0.40,0.12,0.00,0.40,497.9MiB,0.0,0.0,10.0,,,99,1,0,0,11
08:53:14,0.33,104.41,2.55,1.09,0.84,502.4MiB,10.0,11.0,0.0,,,107,1,9,0,11
08:53:23,0.52,102.31,5.11,1.80,1.05,508MiB,9.0,34.0,1.0,,,135,1,9,0,11
08:53:34,1.50,100.71,3.90,1.75,0.99,512MiB,10.0,59.0,0.0,,,77,1,8,0,11
08:53:46,1.27,104.74,6.52,1.65,0.86,515.1MiB,10.0,84.0,0.0,,,88,1,9,0,11
08:54:00,0.98,100.50,2.37,1.41,0.90,519.7MiB,9.0,130.0,0.0,,,149,1,8,0,11
08:54:13,1.30,105.40,2.99,1.70,0.98,523.5MiB,10.0,132.0,1.0,,,128,1,10,0,11
08:54:27,1.85,98.40,6.97,1.41,0.88,531.7MiB,9.0,168.0,0.0,,,129,1,8,0,11
