13:51:39  watchdog: 390분 뒤 강제 정지 예약
13:51:39  시작 코퍼스 0 청크 / 원본 200016 / TEI 상한 2.0 고정
13:51:42  ◆ 앱 기동 — 연속 색인 시작(1회차)
14:20:03  [watch] 청크 33019 (+1201) 원본당 63.0ms | INSERT 1.235ms/건 | ckpt 6/0 wal 346.6MB | dead 0 vac 10 run=0 | hnsw 57MB | cpu app 0.53% db 0.10% tei 200.30% | base 63.0
14:21:06  [watch] 청크 34322 (+1303) 원본당 57.3ms | INSERT 1.251ms/건 | ckpt 6/0 wal 354.7MB | dead 0 vac 10 run=0 | hnsw 59MB | cpu app 0.48% db 4.13% tei 200.56% | base 63.0
14:22:09  [watch] 청크 35522 (+1200) 원본당 63.0ms | INSERT 1.350ms/건 | ckpt 6/0 wal 361.2MB | dead 0 vac 10 run=0 | hnsw 61MB | cpu app 0.48% db 100.10% tei 200.77% | base 63.0
14:23:12  [watch] 청크 36726 (+1204) 원본당 63.0ms | INSERT 1.403ms/건 | ckpt 6/0 wal 367.8MB | dead 0 vac 10 run=0 | hnsw 63MB | cpu app 3.68% db 0.10% tei 200.74% | base 63.0
14:24:15  [watch] 청크 37928 (+1202) 원본당 63.0ms | INSERT 1.287ms/건 | ckpt 7/0 wal 402.5MB | dead 0 vac 10 run=0 | hnsw 65MB | cpu app 1.54% db 0.10% tei 199.92% | base 63.0
14:25:18  [watch] 청크 39138 (+1210) 원본당 63.0ms | INSERT 1.230ms/건 | ckpt 7/0 wal 438.2MB | dead 0 vac 10 run=0 | hnsw 67MB | cpu app 1.10% db 16.28% tei 200.15% | base 63.0
14:26:21  [watch] 청크 40458 (+1320) 원본당 57.3ms | INSERT 1.250ms/건 | ckpt 7/0 wal 446.5MB | dead 0 vac 10 run=0 | hnsw 69MB | cpu app 0.25% db 0.10% tei 201.63% | base 63.0
14:27:24  [watch] 청크 41648 (+1190) 원본당 63.0ms | INSERT 1.433ms/건 | ckpt 7/0 wal 453.1MB | dead 0 vac 11 run=0 | hnsw 71MB | cpu app 0.45% db 100.48% tei 199.61% | base 63.0
14:28:27  [watch] 청크 42856 (+1208) 원본당 63.0ms | INSERT 1.399ms/건 | ckpt 7/0 wal 459.9MB | dead 0 vac 11 run=0 | hnsw 73MB | cpu app 0.52% db 15.25% tei 199.08% | base 63.0
14:29:30  [watch] 청크 44166 (+1310) 원본당 57.3ms | INSERT 1.308ms/건 | ckpt 8/0 wal 517.2MB | dead 0 vac 11 run=0 | hnsw 75MB | cpu app 0.27% db 0.10% tei 199.89% | base 63.0
14:30:33  [watch] 청크 45363 (+1197) 원본당 63.0ms | INSERT 1.261ms/건 | ckpt 8/0 wal 539.5MB | dead 0 vac 11 run=0 | hnsw 77MB | cpu app 0.46% db 0.12% tei 199.39% | base 63.0
