t_epoch,t_iso,event,chunks
1789810294,2026-09-19T09:31:34Z,구멍 완료,225728
1789810296,2026-09-19T09:31:36Z,앱 기동 — 연속 색인 시작(1회차),225728
1789810741,2026-09-19T09:39:01Z,기준선 확정 71.1ms/원본 (유효 5표본 중앙값),232579
1789811249,2026-09-19T09:47:29Z,색인 완주 (앱 로그) — 남은 원본 없음,240099
