seq,t_epoch,t_iso,elapsed_s,chunks_total,sources_total,d_chunks,d_sources,ms_per_chunk,ms_per_source,tei_cpus,app_running,note
1,1786597578,2026-08-13T05:06:18+00:00,0,0,0,,,,,2.00,no,
2,1786597638,2026-08-13T05:07:18+00:00,60,718,600,718,600,83.6,100.0,2.00,yes,
3,1786597699,2026-08-13T05:08:19+00:00,121,1801,1500,1083,900,56.3,67.8,2.00,yes,
4,1786597759,2026-08-13T05:09:19+00:00,181,3027,2500,1226,1000,48.9,60.0,2.00,yes,
5,1786597819,2026-08-13T05:10:20+00:00,241,4234,3500,1207,1000,49.7,60.0,2.00,yes,
6,1786597880,2026-08-13T05:11:20+00:00,302,5413,4500,1179,1000,51.7,61.0,2.00,yes,
7,1786597940,2026-08-13T05:12:20+00:00,362,6611,5500,1198,1000,50.1,60.0,2.00,yes,
8,1786598001,2026-08-13T05:13:21+00:00,423,7800,6500,1189,1000,51.3,61.0,2.00,yes,
9,1786598061,2026-08-13T05:14:21+00:00,483,8991,7500,1191,1000,50.4,60.0,2.00,yes,
10,1786598121,2026-08-13T05:15:22+00:00,543,10193,8500,1202,1000,49.9,60.0,2.00,yes,
11,1786598182,2026-08-13T05:16:22+00:00,604,11388,9500,1195,1000,51.0,61.0,2.00,yes,
12,1786598242,2026-08-13T05:17:22+00:00,664,12568,10500,1180,1000,50.8,60.0,2.00,yes,
13,1786598303,2026-08-13T05:18:23+00:00,725,13761,11500,1193,1000,51.1,61.0,2.00,yes,
14,1786598363,2026-08-13T05:19:23+00:00,785,14862,12400,1101,900,54.5,66.7,2.00,yes,
15,1786598423,2026-08-13T05:20:23+00:00,845,16048,13400,1186,1000,50.6,60.0,2.00,yes,
16,1786598484,2026-08-13T05:21:24+00:00,906,17234,14400,1186,1000,51.4,61.0,2.00,yes,
17,1786598544,2026-08-13T05:22:24+00:00,966,18410,15400,1176,1000,51.0,60.0,2.00,yes,
18,1786598605,2026-08-13T05:23:25+00:00,1027,19617,16400,1207,1000,50.5,61.0,2.00,yes,
19,1786598665,2026-08-13T05:24:25+00:00,1087,20829,17400,1212,1000,49.5,60.0,2.00,yes,
20,1786598725,2026-08-13T05:25:26+00:00,1147,21906,18300,1077,900,55.7,66.7,2.00,yes,
21,1786598786,2026-08-13T05:26:26+00:00,1208,23208,19400,1302,1100,46.9,55.5,2.00,yes,
22,1786598846,2026-08-13T05:27:26+00:00,1268,24385,20400,1177,1000,51.0,60.0,2.00,yes,
23,1786598907,2026-08-13T05:28:27+00:00,1329,25567,21400,1182,1000,51.6,61.0,2.00,yes,
