t_s,n_live_tup,n_dead_tup,autovacuum_count,phase,heap_blks_scanned,heap_blks_total,index_vacuum_count,heap_bytes
7,50000,450000,1,,0,0,0,292577280
17,50000,450000,1,,0,0,0,292577280
23,50000,450000,1,,0,0,0,292577280
32,50000,450000,1,,0,0,0,292577280
39,50000,450000,1,,0,0,0,292577280
46,50000,450000,1,scanning heap,3537,35715,0,292577280
52,50000,450000,1,scanning heap,16077,35715,0,292577280
59,50000,450000,1,vacuuming heap,35715,35715,1,292577280
65,50000,450000,1,vacuuming heap,35715,35715,1,292577280
72,49775,0,2,,0,0,0,292577280
