t_s,n_live_tup,n_dead_tup,autovacuum_count,phase,heap_blks_scanned,heap_blks_total,index_vacuum_count,heap_bytes
9,50000,450000,1,,0,0,0,292577280
16,50000,450000,1,,0,0,0,292577280
23,50000,450000,1,,0,0,0,292577280
31,50000,450000,1,,0,0,0,292577280
38,50000,450000,1,,0,0,0,292577280
44,50000,450000,1,,0,0,0,292577280
52,50000,450000,1,scanning heap,14587,35715,0,292577280
60,50000,450000,1,vacuuming heap,35715,35715,1,292577280
66,50000,450000,1,vacuuming heap,35715,35715,1,292577280
73,49408,0,2,,0,0,0,292577280
