seq,t_epoch,t_iso,elapsed_s,chunks_total,sources_total,d_chunks,d_sources,ms_per_chunk,ms_per_source,tei_cpus,app_running,note
1,1786615390,2026-08-13T10:03:10+00:00,0,0,0,,,,,2.00,no,
2,1786615450,2026-08-13T10:04:10+00:00,60,599,500,599,500,100.2,120.0,2.00,yes,
3,1786615511,2026-08-13T10:05:11+00:00,121,1801,1500,1202,1000,50.7,61.0,2.00,yes,
4,1786615571,2026-08-13T10:06:11+00:00,181,2895,2400,1094,900,54.8,66.7,2.00,yes,
5,1786615631,2026-08-13T10:07:12+00:00,241,4117,3400,1222,1000,49.1,60.0,2.00,yes,
6,1786615692,2026-08-13T10:08:12+00:00,302,5296,4400,1179,1000,51.7,61.0,2.00,yes,
7,1786615752,2026-08-13T10:09:12+00:00,362,6371,5300,1075,900,55.8,66.7,2.00,yes,
8,1786615813,2026-08-13T10:10:13+00:00,423,7566,6300,1195,1000,51.0,61.0,2.00,yes,
9,1786615873,2026-08-13T10:11:13+00:00,483,8753,7300,1187,1000,50.5,60.0,2.00,yes,
10,1786615934,2026-08-13T10:12:14+00:00,544,9844,8200,1091,900,55.9,67.8,2.00,yes,
11,1786615994,2026-08-13T10:13:14+00:00,604,11034,9200,1190,1000,50.4,60.0,2.00,yes,
12,1786616054,2026-08-13T10:14:15+00:00,664,12217,10200,1183,1000,50.7,60.0,2.00,yes,
13,1786616115,2026-08-13T10:15:15+00:00,725,13408,11200,1191,1000,51.2,61.0,2.00,yes,
14,1786616175,2026-08-13T10:16:15+00:00,785,14498,12100,1090,900,55.0,66.7,2.00,yes,
15,1786616235,2026-08-13T10:17:16+00:00,845,15687,13100,1189,1000,50.5,60.0,2.00,yes,
16,1786616296,2026-08-13T10:18:16+00:00,906,16870,14100,1183,1000,51.6,61.0,2.00,yes,
17,1786616356,2026-08-13T10:19:17+00:00,966,18052,15100,1182,1000,50.8,60.0,2.00,yes,
18,1786616417,2026-08-13T10:20:17+00:00,1027,19141,16000,1089,900,56.0,67.8,2.00,yes,
19,1786616477,2026-08-13T10:21:17+00:00,1087,20232,16900,1091,900,55.0,66.7,2.00,yes,
20,1786616538,2026-08-13T10:22:18+00:00,1148,21422,17900,1190,1000,51.3,61.0,2.00,yes,
21,1786616598,2026-08-13T10:23:18+00:00,1208,22487,18800,1065,900,56.3,66.7,2.00,yes,
22,1786616658,2026-08-13T10:24:19+00:00,1268,23682,19800,1195,1000,50.2,60.0,2.00,yes,
23,1786616719,2026-08-13T10:25:19+00:00,1329,24857,20800,1175,1000,51.9,61.0,2.00,yes,
24,1786616779,2026-08-13T10:26:19+00:00,1389,26049,21800,1192,1000,50.3,60.0,2.00,yes,
25,1786616840,2026-08-13T10:27:20+00:00,1450,26049,21800,0,0,,,0.50,yes,
26,1786616900,2026-08-13T10:28:20+00:00,1510,26285,22000,236,200,254.2,300.0,0.50,yes,
27,1786616960,2026-08-13T10:29:21+00:00,1570,26532,22200,247,200,242.9,300.0,0.50,yes,
28,1786617021,2026-08-13T10:30:21+00:00,1631,26767,22400,235,200,259.6,305.0,0.50,yes,
29,1786617081,2026-08-13T10:31:21+00:00,1691,27008,22600,241,200,249.0,300.0,0.50,yes,
30,1786617141,2026-08-13T10:32:22+00:00,1751,27251,22800,243,200,246.9,300.0,0.50,yes,
31,1786617202,2026-08-13T10:33:22+00:00,1812,26049,21800,-1202,-1000,,,0.50,no,
32,1786617262,2026-08-13T10:34:22+00:00,1872,26166,21900,117,100,512.8,600.0,1.00,yes,
33,1786617323,2026-08-13T10:35:23+00:00,1933,26649,22300,483,400,126.3,152.5,1.00,yes,
34,1786617383,2026-08-13T10:36:23+00:00,1993,27251,22800,602,500,99.7,120.0,1.00,yes,
35,1786617443,2026-08-13T10:37:24+00:00,2053,27842,23300,591,500,101.5,120.0,1.00,yes,
36,1786617504,2026-08-13T10:38:24+00:00,2114,28323,23700,481,400,126.8,152.5,1.00,yes,
37,1786617564,2026-08-13T10:39:24+00:00,2174,28930,24200,607,500,98.8,120.0,1.00,yes,
38,1786617625,2026-08-13T10:40:25+00:00,2235,26049,21800,-2881,-2400,,,1.00,no,
39,1786617685,2026-08-13T10:41:25+00:00,2295,26166,21900,117,100,512.8,600.0,1.50,yes,
40,1786617745,2026-08-13T10:42:26+00:00,2355,27008,22600,842,700,71.3,85.7,1.50,yes,
41,1786617806,2026-08-13T10:43:26+00:00,2416,27842,23300,834,700,73.1,87.1,1.50,yes,
42,1786617866,2026-08-13T10:44:26+00:00,2476,28686,24000,844,700,71.1,85.7,1.50,yes,
