pass,state,query,run,ms
3,B,L1_A0,6,0.555
3,B,L1_A0,7,0.452
3,B,L2_A0,1,43.639
3,B,L2_A0,2,0.676
3,B,L2_A0,3,0.731
3,B,L2_A0,4,0.829
3,B,L2_A0,5,0.641
3,B,L2_A0,6,1.062
3,B,L2_A0,7,1.422
3,B,S1_A0,1,3513.177
3,B,S1_A0,2,1128.685
3,B,S1_A0,3,945.064
3,B,S1_A0,4,634.017
3,B,S1_A0,5,382.358
3,B,S1_A0,6,546.878
3,B,S1_A0,7,373.199
3,B,S2_A0,1,1.414
3,B,S2_A0,2,1.201
3,B,S2_A0,3,1.974
3,B,S2_A0,4,1.237
3,B,S2_A0,5,1.225
3,B,S2_A0,6,1.436
3,B,S2_A0,7,1.283
3,B,L1_A1,1,12.854
3,B,L1_A1,2,0.643
3,B,L1_A1,3,0.770
3,B,L1_A1,4,0.595
3,B,L1_A1,5,0.839
3,B,L1_A1,6,0.611
3,B,L1_A1,7,0.855
3,B,L2_A1,1,5.226
3,B,L2_A1,2,1.021
3,B,L2_A1,3,1.144
3,B,L2_A1,4,1.140
3,B,L2_A1,5,2.872
3,B,L2_A1,6,1.189
3,B,L2_A1,7,0.724
3,B,S1_A1,1,44732.493
3,B,S1_A1,2,73575.202
3,B,S1_A1,3,52802.955
3,B,S1_A1,4,36030.297
3,B,S1_A1,5,39864.821
3,B,S1_A1,6,60368.368
3,B,S1_A1,7,63459.359
3,B,S2_A1,1,37.489
3,B,S2_A1,2,0.733
3,B,S2_A1,3,1.416
3,B,S2_A1,4,1.143
3,B,S2_A1,5,1.138
3,B,S2_A1,6,1.035
3,B,S2_A1,7,1.094
3,B,L1_A5,1,2.776
3,B,L1_A5,2,0.613
3,B,L1_A5,3,0.663
3,B,L1_A5,4,0.611
3,B,L1_A5,5,0.627
3,B,L1_A5,6,0.620
3,B,L1_A5,7,0.685
3,B,L2_A5,1,2.699
3,B,L2_A5,2,0.853
3,B,L2_A5,3,0.866
3,B,L2_A5,4,0.744
3,B,L2_A5,5,0.726
3,B,L2_A5,6,0.710
3,B,L2_A5,7,0.647
3,B,S1_A5,1,538.150
3,B,S1_A5,2,46.405
3,B,S1_A5,3,57.459
3,B,S1_A5,4,31.889
3,B,S1_A5,5,49.162
3,B,S1_A5,6,27.325
3,B,S1_A5,7,24.019
3,B,S2_A5,1,2.119
3,B,S2_A5,2,2.253
3,B,S2_A5,3,2.385
3,B,S2_A5,4,1.584
3,B,S2_A5,5,1.589
3,B,S2_A5,6,1.664
3,B,S2_A5,7,1.681
4,A,L1_A0,1,39.495
4,A,L1_A0,2,1.395
4,A,L1_A0,3,1.330
4,A,L1_A0,4,1.405
4,A,L1_A0,5,1.435
4,A,L1_A0,6,1.235
4,A,L1_A0,7,1.353
4,A,L2_A0,1,34.678
4,A,L2_A0,2,1.796
4,A,L2_A0,3,1.489
4,A,L2_A0,4,1.438
4,A,L2_A0,5,1.404
4,A,L2_A0,6,1.410
4,A,L2_A0,7,1.320
4,A,S1_A0,1,1461.359
4,A,S1_A0,2,1583.811
4,A,S1_A0,3,1284.024
4,A,S1_A0,4,1513.849
4,A,S1_A0,5,1202.628
4,A,S1_A0,6,1171.928
4,A,S1_A0,7,1370.622
4,A,S2_A0,1,160.292
4,A,S2_A0,2,4.284
4,A,S2_A0,3,3.491
4,A,S2_A0,4,2.568
4,A,S2_A0,5,4.169
4,A,S2_A0,6,2.950
4,A,S2_A0,7,3.280
4,A,L1_A1,1,1.957
4,A,L1_A1,2,2.401
4,A,L1_A1,3,2.352
4,A,L1_A1,4,3.084
4,A,L1_A1,5,3.190
4,A,L1_A1,6,2.570
4,A,L1_A1,7,2.546
4,A,L2_A1,1,20.198
4,A,L2_A1,2,4.441
4,A,L2_A1,3,2.252
4,A,L2_A1,4,2.705
4,A,L2_A1,5,1.825
4,A,L2_A1,6,2.580
4,A,L2_A1,7,3.264
