pass,state,round,write_rows,insert_ms
1,O,1,50000,4300
1,O,2,50000,2948
1,O,3,50000,4793
2,A,1,50000,4105
2,A,2,50000,3240
2,A,3,50000,5403
3,B,1,50000,6235
3,B,2,50000,3640
3,B,3,50000,3690
4,A,1,50000,6433
4,A,2,50000,6509
4,A,3,50000,4262
5,B,1,50000,10514
5,B,2,50000,6619
5,B,3,50000,5049
